Date,Headline,Stock Name
Date,Headline,Stock Name
2021-01-30,A West Virginia newspaper company is suing Google and Facebook over online ads.,GOOGL
2021-03-09,Google and Facebook Killed Free,GOOGL
2021-03-16,Google reduces some app-store fees amid criticism.,GOOGL
2021-03-17,What the U.S. Missed With Google,GOOGL
2021-03-25,"On Google Podcasts, a Buffet of Hate",GOOGL
2021-03-27,Google Aims to Be the Anti-Amazon of E-Commerce. It Has a Long Way to Go.,GOOGL
2021-03-31,Google to welcome some employees back to office in April.,GOOGL
2021-04-05,Supreme Court Backs Google in Copyright Fight With Oracle,GOOGL
2021-04-06,Google Won. So Did Tech.,GOOGL
2021-04-07,"After Working at Google, I’ll Never Let Myself Love a Job Again",GOOGL
2021-04-27,Alphabet’s profit more than doubled last quarter as Google’s advertising business rebounded.,GOOGL
2021-04-28,Catch up: Google’s and Microsoft’s profits soar as pandemic benefits Big Tech.,GOOGL
2021-04-30,"The Googleplex of the Future Has Privacy Robots, Meeting Tents and Your Very Own Balloon Wall",GOOGL
2021-05-03,Back to Work the Google Way,GOOGL
2021-05-26,"Russia Raises Heat on Twitter, Google and Facebook in Online Crackdown",GOOGL
2021-05-27,Why Apple and Google’s Virus Alert Apps Had Limited Success Virus alert apps powered by Apple and Google have had limited success.,GOOGL
2021-06-04,India’s ‘Ugliest’ Language? Google Had an Answer (and Drew a Backlash).,GOOGL
2021-06-07,Google to Pay $270 Million to Settle Antitrust Charges in France,GOOGL
2021-06-08,Ohio’s attorney general wants Google to be declared a public utility.,GOOGL
2021-06-10,Google Seeks to Break Vicious Cycle of Online Slander,GOOGL
2021-06-14,Google’s Privacy Backpedal Shows Why It’s So Hard Not to Be Evil,GOOGL
2021-06-16,"Google is ready to open its first store, in New York.",GOOGL
2021-06-21,Google Is Dominating This Hidden Market With No Rules Google Executives See Cracks in Their Company’s Success,GOOGL
2021-06-22,Google’s Internet Ad Dominance Draws Fresh E.U. Antitrust Inquiry,GOOGL
2021-06-24,Google delays a privacy change to its Chrome web browser.,GOOGL
2021-06-29,"How Amazon, Google and Other Companies Exploit NDAs",GOOGL
2021-07-01,"From Google, on Its Advertising Tech Business",GOOGL
2021-07-07,Let’s Make Google a Public Good Dozens of States Sue Google Over App Store Fees,GOOGL
2021-07-13,France fines Google $593 million for not negotiating ‘in good faith’ with news publishers.,GOOGL
2021-07-24,Amateur Fossil Hunters Make Rare Find in U.K. Using Google Earth,GOOGL
2021-07-27,Google’s profits soar as revenue rises 62 percent.,GOOGL
2021-07-28,Google mandates vaccines for employees and delays its return to the office to October.,GOOGL
2021-07-29,Meet the Man Who Wants You to Give Up Google Why Turkey’s Regulators Became Such a Problem for Google,GOOGL
2021-08-10,Google will add privacy steps for teenagers on its search engine and YouTube.,GOOGL
2021-08-13,"Google Infringed on Patents Owned by Sonos, a Trade Judge Says",GOOGL
2021-08-23,Apple and Google’s Fight in Seoul Tests Biden in Washington,GOOGL
2021-08-31,South Korea forces Google and Apple to allow third-party in-app payments. Google delays its return to office until January.,GOOGL
2021-09-01,Justice Dept. Is Said to Accelerate Google Advertising Inquiry,GOOGL
2021-09-09,Smart Glasses Made Google Look Dumb. Now Facebook Is Giving Them a Try.,GOOGL
2021-09-10,Google Could Be Violating Labor Laws With Pay for Temp Workers,GOOGL
2021-09-13,Dave Eggers Created the Google-Amazon Mash-Up of Your Nightmares,GOOGL
2021-09-17,"Google and Apple, Under Pressure From Russia, Remove Voting App",GOOGL
2021-09-21,"Google to Spend $2.1 Billion on Manhattan Office Building United Nations, Haiti, Google: Your Tuesday Evening Briefing",GOOGL
2021-09-22,Google’s Big Bet on Manhattan Office Space,GOOGL
2021-10-07,"Google bans ads on content, including YouTube videos, with false claims about climate change.",GOOGL
2021-10-21,Google plans to lower the cut it takes in its app store to 15 percent.,GOOGL
2021-10-22,"Google said it had successfully ‘slowed down’ European privacy rules, according to lawsuit.",GOOGL
2021-10-25,Google Pixel 6 Review: Playing Catch-Up With the iPhone,GOOGL
2021-10-26,Google’s profit and revenue soared in the third quarter.,GOOGL
2021-10-28,Google and Facebook’s Ad Empires,GOOGL
2021-11-03,"Google Wants to Work With the Pentagon Again, Despite Employee Concerns",GOOGL
2021-11-04,Google’s parent launches a company dedicated to drug discovery.,GOOGL
2021-11-05,Google Temps Fought Loss of Pandemic Bonus. And Won.,GOOGL
2021-11-10,Google loses appeal of $2.8 billion fine in E.U. antitrust case.,GOOGL
2021-11-15,Google executives tell employees it can compete for Pentagon contracts without violating its principles.,GOOGL
2021-11-16,"Google will invest $740 million in Australia, including a research hub.",GOOGL
2021-11-19,Google questions if the new Justice Department antitrust boss can be impartial.,GOOGL
2021-12-16,"Google Pledged to Remove Ads From Climate Denial Sites, but Many Still Run",GOOGL
2022-01-06,"Google Infringed on Sonos Speaker Technology, Trade Court Rules",GOOGL
2022-01-07,Fugitive Italian Killer Finally Meets His Match: Google Maps,GOOGL
2022-01-10,"Google must turn over more documents in a labor case, a judge rules.",GOOGL
2022-01-14,"Google pays $1 billion for a London office building. Google’s chief executive signed off on deal at center of antitrust case, states say.",GOOGL
2022-01-20,DeepMind co-founder leaves Google after a rocky tenure.,GOOGL
2022-01-21,Google asks court to dismiss Texas antitrust case.,GOOGL
2022-01-24,Four Attorneys General Claim Google Secretly Tracked People,GOOGL
2022-01-25,Google introduces a new system for tracking Chrome browser users.,GOOGL
2022-02-02,Google Vanquished a Rival in Prague. Payback Could Hurt.,GOOGL
2022-02-16,"Google Plans Privacy Changes, but Promises to Not Be Disruptive Nope to Metamates, Googlers and Puritans",GOOGL
2022-02-17,Google Creates $100 Million Fund for Skills Training Program,GOOGL
2022-02-23,"Fed Up With Google, Conspiracy Theorists Turn to DuckDuckGo",GOOGL
2022-02-24,Google eases pandemic rules for employees in the U.S.,GOOGL
2022-03-04,Google Suspends Advertising in Russia,GOOGL
2022-03-08,"Google is buying Mandiant, a cybersecurity firm, for $5.4 billion.",GOOGL
2022-03-11,"When My Heart Broke, My Father Used Google to Save Me A secret ad deal between Google and Meta is under scrutiny in Europe.",GOOGL
2022-03-18,Lawsuit Accuses Google of Bias Against Black Employees,GOOGL
2022-03-21,Google settles with six employees who worked on unionization efforts.,GOOGL
2022-03-23,"Google, facing antitrust scrutiny, says it will let apps like Spotify offer alternate billing systems.",GOOGL
2022-04-12,"In a First, Google Goes After Puppy Fraud in Court",GOOGL
2022-04-26,Alphabet’s profit drops 8% as Google’s pandemic boom shows signs of slowing.,GOOGL
2022-05-02,"Another Firing Among Google’s A.I. Brain Trust, and More Discord",GOOGL
2022-05-09,Match Group sues Google over its app store rules.,GOOGL
2022-05-11,Google Offers a More Modest Vision of the Future,GOOGL
2022-05-23,Google Maps Workers Say They Can’t Afford the Trip Back to the Office,GOOGL
2022-05-31,‘Allinllachu.’ Google Translate Adds Quechua to Its Platform.,GOOGL
2022-07-01,Google Says It Will Delete Location Data When Users Visit Abortion Clinics,GOOGL
2022-07-07,Siberia or Japan? Expert Google Maps Players Can Tell at a Glimpse.,GOOGL
2022-07-11,Restaurants Face an Extortion Threat: A Bad Rating on Google,GOOGL
2022-07-19,Russia fines Google for failing to remove news it calls ‘fake.’,GOOGL
2022-07-23,Google Fires Engineer Who Claims Its A.I. Is Conscious,GOOGL
2022-07-29,"Not Searching for Love, They Found It at Google",GOOGL
2022-08-09,Justice Dept. Said to Conduct New Interviews in Inquiry Into Google’s Ad Tech,GOOGL
2022-08-21,A Dad Took Photos of His Naked Toddler for the Doctor. Google Flagged Him as a Criminal.,GOOGL
2022-08-24,Google Finds ‘Inoculating’ People Against Misinformation Helps Blunt Its Power,GOOGL
2022-08-30,Google Employee Who Played Key Role in Protest of Contract With Israel Quits Google Says Trump’s Truth Social Must Scrub Violent Content to Join Play Store,GOOGL
2022-09-02,Parler Returns to Google Play Store,GOOGL
2022-09-14,E.U. Scores Major Legal Victory Against Google,GOOGL
2022-09-28,Google to Make Search and Maps More ‘Immersive’,GOOGL
2022-09-29,Google to Shut Down Stadia Video Game Streaming Service,GOOGL
2022-10-12,The Google Watch Is Here. But You’d Better Love Android.,GOOGL
2022-10-13,Google’s Move to Include Truth Social in App Store Buoys Investor Confidence,GOOGL
2022-10-20,Texas Sues Google for Collecting Biometric Data Without Consent,GOOGL
2022-11-14,Google Agrees to $392 Million Privacy Settlement With 40 States,GOOGL
2023-02-01,"GoodRx Leaked User Health Data to Facebook and Google, F.T.C. Says",GOOGL
2023-02-02,Senator Calls on Apple and Google to Ban TikTok in App Stores,GOOGL
2023-02-03,There’s Already a Better Search Engine Than Google. It’s YouTube.,GOOGL
2023-02-06,"Racing to Catch Up With ChatGPT, Google Plans Release of Its Own Chatbot",GOOGL
2023-02-10,Bing’s Revenge and Google’s A.I. Face-Plant,GOOGL
2023-02-23,Google Changed Work Culture. Its Former Hype Woman Has Regrets.,GOOGL
2023-03-15,"How Siri, Alexa and Google Assistant Lost the A.I. Race",GOOGL
2023-03-16,Microsoft and Google Unveil A.I. Tools for Businesses,GOOGL
2023-03-21,"Google Releases Bard, Its Competitor in the Race to Create A.I. Chatbots What Google Bard Can Do (and What It Can’t)",GOOGL
2023-03-31,"Google C.E.O. Sundar Pichai on Bard, A.I. ‘Whiplash’ and Competing With ChatGPT Google C.E.O. Sundar Pichai on the A.I. Moment: ‘You Will See Us Be Bold’",GOOGL
2023-04-07,"In A.I. Race, Microsoft and Google Choose Speed Over Caution",GOOGL
2023-04-16,Google Devising Radical Search Changes to Beat Back A.I. Rivals,GOOGL
2023-05-01,‘The Godfather of A.I.’ Leaves Google and Warns of Danger Ahead,GOOGL
2023-05-02,"Google Promised to Defund Climate Lies, but the Ads Keep Coming",GOOGL
2023-05-10,Google Builds on Tech’s Latest Craze With Its Own A.I. Products,GOOGL
2023-05-12,Google’s A.I. Bonanza and Driverless Car Talk With Cruise C.E.O. Kyle Vogt,GOOGL
2023-05-17,Haven’t Checked Your Gmail in a While? Google May Delete Your Account.,GOOGL
2023-05-22,Google’s Photo App Still Can’t Find Gorillas. And Neither Can Apple’s.,GOOGL
2023-06-14,"Google’s Online Advertising Practices Violate Antitrust Laws, E.U. Says Google Might Owe You Money. Here’s How to Get It.",GOOGL
2023-06-20,"Gannett Sues Google, Accusing It of Dominating the Ad Market",GOOGL
2023-06-23,Canada Forces Google and Facebook to Pay News Outlets for Linking to Articles,GOOGL
2023-06-24,Google News Blocked in Russia as Feud With Mercenary Leader Intensifies,GOOGL
2023-06-26,Google Pixel Fold Review: Foldable Phones Are Improving,GOOGL
2023-08-04,Judge Narrows Scope of Coming Trial Over Google Monopoly Claims,GOOGL
